"","batter","PA","OPS","year","fullname","birthdate"
"1",1040,138,0.457851,2005,"John Flaherty","1967-10-21"
"2",1004,177,0.751735,2005,"Josh Phelps","1978-05-12"
"3",1015,599,0.711127,2005,"Shannon Stewart","1974-02-25"
"4",935,523,0.676645,2005,"Scott Hatteberg","1969-12-14"
"5",750,109,0.613091,2006,"Craig Wilson","1976-11-30"
"6",758,392,0.68449,2006,"Aaron Boone","1973-03-09"
"7",759,193,0.759831,2006,"Russell Branyan","1975-12-19"
"8",760,196,0.649844,2006,"Sean Casey","1974-07-02"
"9",761,164,0.565361,2006,"Juan Castro","1972-06-20"
"10",46400,648,0.952465,2014,"Andrew McCutchen","1986-10-10"
"11",46514,23,0.225673,2014,"Jamie Romak","1985-09-30"
"12",834,682,0.927734,2007,"Todd Helton","1973-08-20"
"13",812,170,0.621198,2007,"Gary Bennett","1972-04-17"
"14",33214,136,0.695284,2006,"Eric Bruntlett","1978-03-29"
"15",33370,148,0.764101,2006,"Freddie Bynum","1980-03-15"
"16",1035,60,0.486364,2004,"Jason Conti","1975-01-27"
"17",1037,672,0.781317,2004,"Carl Crawford","1981-08-05"
"18",32395,214,0.589652,2012,"John Baker","1981-01-20"
"19",32450,493,0.593044,2012,"Clint Barmes","1979-03-06"
"20",32500,98,0.432354,2012,"Jason Bartlett","1979-10-30"
"21",32953,10,0.4,2012,"J.C. Boscan","1979-12-26"
"22",33713,186,0.741161,2012,"Ronny Cedeno","1983-02-02"
"23",34306,296,0.753129,2012,"Luis Cruz","1984-02-10"
"24",34659,382,0.795886,2012,"Chris Denorfia","1980-07-15"
"25",34729,118,0.612994,2012,"Matt Diaz","1978-03-03"
"26",35575,90,0.653595,2012,"Ben Francisco","1981-10-23"
"27",36288,24,0.512681,2012,"Nick Green","1978-09-10"
"28",36585,371,0.702662,2012,"Ryan Hanigan","1980-08-16"
"29",36858,27,0.708333,2012,"Jeremy Hermida","1984-01-30"
"30",37052,688,0.876856,2012,"Matt Holliday","1980-01-15"
"31",37145,292,0.717598,2012,"Ryan Howard","1979-11-19"
"32",37362,174,0.757044,2012,"Travis Ishikawa","1983-09-24"
"33",37422,23,0.610984,2012,"Mike Jacobs","1980-10-30"
"34",37650,515,0.832294,2012,"Garrett Jones","1981-06-21"
"35",38161,157,0.809278,2012,"Erik Kratz","1980-06-15"
"36",38501,25,0.47,2012,"Fred Lewis","1980-12-09"
"37",38734,66,0.627566,2012,"Hector Luna","1980-02-01"
"38",38871,12,0.181818,2012,"Carlos Maldonado","1979-01-03"
"39",39153,243,0.580642,2012,"Joe Mather","1982-07-23"
"40",39405,62,0.385116,2012,"Nate McLouth","1981-10-28"
"41",39835,573,0.829197,2012,"Miguel Montero","1983-07-09"
